VNODES_COUNT, changes, precentage
200 ,50171 , 0.50%
400 ,74934 , 0.75%
600 ,83702 , 0.84%
800 ,87565 , 0.88%
1000 ,89841 , 0.90%
1200 ,91625 , 0.92%
1400 ,92713 , 0.93%
1600 ,94221 , 0.94%
1800 ,94262 , 0.94%
2000 ,94342 , 0.94%
2200 ,95823 , 0.96%
2400 ,95704 , 0.96%
2600 ,96413 , 0.96%
2800 ,96325 , 0.96%
3000 ,95963 , 0.96%
3200 ,96980 , 0.97%
3400 ,96940 , 0.97%
3600 ,97227 , 0.97%
3800 ,97075 , 0.97%
4000 ,97169 , 0.97%
4200 ,97410 , 0.97%
4400 ,97830 , 0.98%
4600 ,97848 , 0.98%
4800 ,98389 , 0.98%
5000 ,98176 , 0.98%
5200 ,98215 , 0.98%
